Firm Name,Momentum_1,Long Short
RZHO-L,-0.0344827586206895,0
GCIV-L,-0.0343598880122169,0
SKMC-L,-0.0340909090909091,0
FSAJ-L,-0.0334519572953737,0
SFPY-L,-0.0334051724137929,0
FVVQ-L,-0.0333333333333334,0
MIUV-L,-0.0333333333333334,0
NIHF-L,-0.0333333333333333,0
SMLE-L,-0.0330188679245282,0
PQIZ-L,-0.0328907664453833,0
MHRM-L,-0.0327091136079898,0
MBUU-L,-0.0323951141795008,0
QPGW-L,-0.0322085889570552,0
NQEI-L,-0.0320773930753564,0
LYCY-L,-0.0319037656903765,0
MQS-L,-0.0316872427983538,0
MOLZ-L,-0.0311850311850311,0
FTMS-L,-0.0307692307692307,0
NUCW-L,-0.0307692307692307,0
QIUR-L,-0.0303854875283448,0
FTAW-L,-0.030201342281879,0
MDDF-L,-0.0301220462217605,0
LXVK-L,-0.0298325722983257,0
FZEO-L,-0.0298136645962734,0
PJUD-L,-0.0292682926829267,0
SNTK-L,-0.0291754756871035,0
FSVP-L,-0.0289930555555555,0
FSUH-L,-0.0289855072463768,0
LZWP-L,-0.0288746119974012,0
SEGC-L,-0.02882096069869,0
NIIA-L,-0.0287825748735901,0
FVXW-L,-0.028768090363572,0
MDDY-L,-0.0286902286902287,0
TLP-L,-0.028673835125448,0
FUMU-L,-0.0285012285012286,0
MCAC-L,-0.0284738041002278,0
GOAH-L,-0.0281433710625602,0
SNXY-L,-0.0277306168647426,0
QHGI-L,-0.0276243093922652,0
FTAN-L,-0.0272813480195492,0
SCPC-L,-0.027027027027027,0
PNRC-L,-0.0267465069860279,0
SBSV-L,-0.0265774556268004,0
FVAC-L^D23,-0.0263751763046544,0
IAEK-L,-0.025925925925926,0
PWXK-L,-0.0256057268722467,0
QCXS-L,-0.0254431103487705,0
PKQP-L,-0.025,0
PNGC-L,-0.0248587570621467,0
NGTG-L,-0.0247861373108138,0
SDJE-L,-0.0245901639344261,0
FTBO-L,-0.0245338567222767,0
LTIB-L,-0.024390243902439,0
PMAL-L,-0.0241796200345424,0
LRLG-L,-0.0239316239316238,0
LLXZ-L,-0.0237473579510134,0
QFKF-L,-0.0231884057971014,0
BIUE-L,-0.0231461637376767,0
FXEB-L,-0.0228034251675354,0
FWQS-L,-0.0227272727272727,0
PUZC-L,-0.0223776223776224,0
NXOR-L,-0.0221564090698751,0
LXGK-L,-0.0217391304347825,0
FTKY-L,-0.0212765957446807,0
FVSW-L,-0.0212121212121211,0
MXKA-L,-0.0210166177908113,0
LQUL-L,-0.0208333333333333,0
SBUK-L,-0.0208333333333333,0
QVEK-L,-0.0207640090509783,0
FSNP-L,-0.0207468879668051,0
SLUX-L,-0.0207039337474119,0
WAW-L,-0.0206738131699847,0
NYVJ-L,-0.0202863961813842,0
OJJC-L,-0.0195562241444151,0
FWMO-L,-0.0194075587334013,0
RWTG-L,-0.0185185185185186,0
PVQL-L,-0.0181818181818181,0
PJTO-L^E23,-0.0178217821782178,0
DSXG-L,-0.0177514792899408,0
PJLY-L,-0.0177095631641085,0
FTXS-L,-0.0177025631396112,0
FSDF-L,-0.0176056338028168,0
SHSB-L,-0.017391304347826,0
NVRD-L,-0.017353579175705,0
PRKY-L,-0.0173410404624277,0
PQLL-L,-0.0171149144254278,0
SCBE-L^E22,-0.015748031496063,0
FTTL-L,-0.0151515151515151,0
SEZQ-L,-0.0150943396226415,0
LVWO-L,-0.0149812734082397,0
SBLC-L,-0.0149253731343284,0
FUPV-L,-0.0149060272197018,0
NVPQ-L,-0.0148148148148147,0
NOZO-L,-0.0146592709984151,0
QHEL-L,-0.0145772594752187,0
FZCB-L,-0.0141285151473985,0
IVFH-L,-0.0138888888888889,0
