Firm Name,Momentum_1,Cluster Index
81912,-0.0411652944901835,18
27991,0.0776747682285141,3
20482,0.0953909653749141,24
10656,0.0028901734104047,23
60038,0.0321038251366119,26
85084,-0.0445544554455445,13
79678,0.0500878734622143,4
10779,0.2138263665594855,27
61487,0.2322954822954823,26
61241,-0.205978705978706,9
88845,-0.2113698973203105,19
28222,0.000156445556946,29
11368,-0.1352569882777277,9
11456,-0.2602739726027396,12
28804,-0.0580923389142566,25
11587,-0.049682606855692,15
42083,0.0004105090311987,28
48514,0.0960317460317461,18
11691,-0.0941947142534448,18
71271,0.0003980677521375,24
10137,0.1073644456433773,9
10145,-0.0397022332506201,10
41443,-0.1356728810903963,29
45911,-0.2032667876588022,13
24643,-0.0744746600741655,7
84260,-0.688858695652174,20
28484,0.0009460737937558,13
81073,-0.1237830319888734,20
39482,-0.0911577028258887,12
10225,0.0212646106182226,7
12758,-0.1799999999999999,20
24109,0.0545985401459854,30
59176,-0.0217963171739946,24
57904,-0.047680690399137,30
15667,0.0914208511596488,24
66800,0.0274343776460628,8
13470,-0.159349593495935,15
13507,-0.1163274745605921,16
13603,-0.0248344827586206,26
58560,-0.124482044198895,20
13769,0.0114566284779049,7
81285,-0.1072336491795701,23
69200,-0.0257575757575757,26
11144,-0.0471576227390181,19
85257,-0.1046855213170113,18
14008,0.0686800551893298,24
64864,-0.03,14
18075,0.100174520069808,26
14219,0.0849999999999999,19
14227,-0.1278672523182038,15
14286,-0.168385864374403,5
14323,-0.04627539503386,2
83112,-0.1016582552271088,26
59184,0.0561526650581267,8
29145,-0.0383912248628884,2
39490,0.0325274725274724,10
14593,0.1866596822070889,9
10516,0.0658914728682169,26
14868,-0.1226473447026597,11
77595,-0.1151165106552479,15
29209,-0.1223602484472049,25
24272,-0.0028485757121439,21
15457,-0.0164424514200299,9
15553,0.0236096537250789,16
15721,-0.0538306451612903,29
29787,-0.0179856115107912,15
44644,-0.0350606394707828,7
15991,-0.1652890322230955,10
16030,-0.0140424784974547,9
44601,0.0098174302445745,3
27684,-0.0909090909090909,14
40416,-0.0648387096774194,4
53110,-0.194074074074074,2
62797,0.0366581415174764,1
52484,-0.0271889400921658,25
75034,-0.0232131948686621,26
10318,-0.0084444444444444,28
58755,-0.0540108660914029,29
57568,0.0340172786177104,23
24221,0.0621790168745413,18
16505,-0.0630208333333334,23
16548,-0.0012096774193548,6
55781,-0.0576660289696639,3
49656,0.0437888198757763,24
29532,0.0865384615384614,19
16890,-0.2374271530325923,6
46877,-0.0312585312585314,6
39693,-0.1473684210526314,23
47423,-0.0251851851851852,21
26518,-0.0354812398042414,2
27887,0.1425462459194777,10
29612,-0.0407239819004524,6
39642,0.078357598560445,1
17444,0.0187845303867404,6
65875,0.0098536876679604,13
29639,0.1227436823104692,24
65883,0.0820441988950275,1
65509,0.0333333333333334,23
43772,0.0026126714565641,3
11510,-0.1930729550478999,26
17778,-0.0006436901995439,24
61508,-0.0024338302403407,29
18033,0.1238095238095238,21
20220,-0.165166942931565,25
61946,0.0436935624817944,3
62519,0.0043459365493263,11
65154,-0.0931780366056571,11
