Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-06-07 00:00:00+01:00,4.951,4.951,4.951,4.951,4501164550,0.0,0.0
1994-06-08 00:00:00+01:00,4.951,4.951,4.951,4.951,0,0.0,0.0
1994-06-09 00:00:00+01:00,4.951,4.951,4.951,4.951,0,0.0,0.0
1994-06-10 00:00:00+01:00,4.951,4.951,4.951,4.951,0,0.0,0.0
1994-06-13 00:00:00+01:00,4.885,4.885,4.885,4.885,0,0.0,0.0
1994-06-14 00:00:00+01:00,4.818,4.818,4.818,4.818,0,0.0,0.0
1994-06-15 00:00:00+01:00,4.818,4.818,4.818,4.818,0,0.0,0.0
1994-06-16 00:00:00+01:00,4.791,4.791,4.791,4.791,0,0.0,0.0
1994-06-17 00:00:00+01:00,4.791,4.791,4.791,4.791,0,0.0,0.0
1994-06-20 00:00:00+01:00,4.751,4.751,4.751,4.751,0,0.0,0.0
1994-06-21 00:00:00+01:00,4.737,4.737,4.737,4.737,0,0.0,0.0
1994-06-22 00:00:00+01:00,4.684,4.684,4.684,4.684,0,0.0,0.0
1994-06-23 00:00:00+01:00,4.617,4.617,4.617,4.617,0,0.0,0.0
1994-06-24 00:00:00+01:00,4.55,4.55,4.55,4.55,0,0.0,0.0
1994-06-27 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-06-28 00:00:00+01:00,4.416,4.416,4.416,4.416,10088817020,0.0,0.0
1994-06-29 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-06-30 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-07-01 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-07-04 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-07-05 00:00:00+01:00,4.416,4.416,4.416,4.416,0,0.0,0.0
1994-07-06 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-07 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-08 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-11 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-12 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-13 00:00:00+01:00,4.309,4.309,4.309,4.309,0,0.0,0.0
1994-07-14 00:00:00+01:00,4.309,4.309,4.309,4.309,0,0.0,0.0
1994-07-15 00:00:00+01:00,4.309,4.309,4.309,4.309,0,0.0,0.0
1994-07-18 00:00:00+01:00,4.296,4.296,4.296,4.296,0,0.0,0.0
1994-07-19 00:00:00+01:00,4.309,4.309,4.309,4.309,0,0.0,0.0
1994-07-20 00:00:00+01:00,4.309,4.309,4.309,4.309,0,0.0,0.0
1994-07-21 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-22 00:00:00+01:00,4.349,4.349,4.349,4.349,0,0.0,0.0
1994-07-25 00:00:00+01:00,4.389,4.389,4.389,4.389,0,0.0,0.0
1994-07-26 00:00:00+01:00,4.389,4.389,4.389,4.389,0,0.0,0.0
1994-07-27 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-07-28 00:00:00+01:00,4.55,4.55,4.55,4.55,0,0.0,0.0
1994-07-29 00:00:00+01:00,4.55,4.55,4.55,4.55,0,0.0,0.0
1994-08-01 00:00:00+01:00,4.55,4.55,4.55,4.55,0,0.0,0.0
1994-08-02 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-03 00:00:00+01:00,4.537,4.537,4.537,4.537,0,0.0,0.0
1994-08-04 00:00:00+01:00,4.483,4.483,4.483,4.483,38803144966,0.0,0.0
1994-08-05 00:00:00+01:00,4.51,4.51,4.51,4.51,0,0.0,0.0
1994-08-08 00:00:00+01:00,4.51,4.51,4.51,4.51,0,0.0,0.0
1994-08-09 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-10 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-11 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-12 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-15 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-16 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-17 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-18 00:00:00+01:00,4.523,4.523,4.523,4.523,0,0.0,0.0
1994-08-19 00:00:00+01:00,4.55,4.55,4.55,4.55,0,0.0,0.0
1994-08-22 00:00:00+01:00,4.624,4.624,4.624,4.624,0,0.064,0.0
1994-08-23 00:00:00+01:00,4.759,4.759,4.759,4.759,17461414241,0.0,0.0
1994-08-24 00:00:00+01:00,4.853,4.853,4.853,4.853,17461414241,0.0,0.0
1994-08-25 00:00:00+01:00,4.894,4.894,4.894,4.894,16268218307,0.0,0.0
1994-08-26 00:00:00+01:00,4.921,4.921,4.921,4.921,0,0.0,0.0
1994-08-29 00:00:00+01:00,4.921,4.921,4.921,4.921,0,0.0,0.0
1994-08-30 00:00:00+01:00,4.921,4.921,4.921,4.921,0,0.0,0.0
1994-08-31 00:00:00+01:00,4.988,4.988,4.988,4.988,0,0.0,0.0
1994-09-01 00:00:00+01:00,4.988,4.988,4.988,4.988,0,0.0,0.0
1994-09-02 00:00:00+01:00,5.056,5.056,5.056,5.056,0,0.0,0.0
1994-09-05 00:00:00+01:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-09-06 00:00:00+01:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-09-07 00:00:00+01:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-09-08 00:00:00+01:00,5.19,5.19,5.19,5.19,0,0.0,0.0
1994-09-09 00:00:00+01:00,5.231,5.231,5.231,5.231,0,0.0,0.0
1994-09-12 00:00:00+01:00,5.231,5.231,5.231,5.231,0,0.0,0.0
1994-09-13 00:00:00+01:00,5.231,5.231,5.231,5.231,5820471620,0.0,0.0
1994-09-14 00:00:00+01:00,5.19,5.19,5.19,5.19,0,0.0,0.0
1994-09-15 00:00:00+01:00,5.19,5.19,5.19,5.19,0,0.0,0.0
1994-09-16 00:00:00+01:00,5.19,5.19,5.19,5.19,0,0.0,0.0
1994-09-19 00:00:00+01:00,5.19,5.19,5.19,5.19,0,0.0,2.0
1994-09-20 00:00:00+01:00,5.231,5.231,5.231,5.231,0,0.0,0.0
